name,code,ticker_yf,market
화신,010690,010690.KS,KOSPI
화인베스틸,133820,133820.KS,KOSPI
화천기계,010660,010660.KS,KOSPI
화천기공,000850,000850.KS,KOSPI
환인제약,016580,016580.KS,KOSPI
황금에스티,032560,032560.KS,KOSPI
효성,004800,004800.KS,KOSPI
효성ITX,094280,094280.KS,KOSPI
효성중공업,298040,298040.KS,KOSPI
효성티앤씨,298020,298020.KS,KOSPI
효성화학,298000,298000.KS,KOSPI
후성,093370,093370.KS,KOSPI
휴니드,005870,005870.KS,KOSPI
휴비스,079980,079980.KS,KOSPI
휴스틸,005010,005010.KS,KOSPI
흥국화재,000540,000540.KS,KOSPI
흥국화재우,000545,000545.KS,KOSPI
흥아해운,003280,003280.KS,KOSPI
